D,X,Y,Z
,0.149169922,-1.195663452,-0.513412476
,0.04574585,-1.027023315,-0.188903809
,-0.289535522,-0.578887939,-0.130599976
,-0.120803833,-0.434082031,0.040481567
,0.484817505,-0.90335083,0.379760742
,0.417831421,-1.244827271,-0.144866943
,0.060501099,-1.074829102,-0.349990845
,0.123565674,-1.071853638,-0.456741333
,,,
,0.194396973,-1.260543823,-0.533843994
,-0.010467529,-1.140869141,-0.320129395
,-0.362197876,-0.406829834,-0.277572632
,-0.044158936,-0.449645996,0.187255859
,0.650634766,-1.15788269,0.175933838
,0.188858032,-1.296554565,-0.560058594
,-0.030288696,-0.972412109,-0.37487793
,,,
,0.258239746,-1.123016357,-0.794143677
,-0.012237549,-0.953186035,-0.814453125
,-0.372634888,-0.423980713,-0.255767822
,-0.054794312,-0.42918396,0.084991455
,0.565124512,-0.884124756,-0.253341675
,0.287643433,-1.269058228,-0.856246948
,-0.197387695,-0.890975952,-0.462402344
,,,
,0.306152344,-1.252059937,-0.683181763
,0.038803101,-1.1743927,-0.529144287
,-0.421966553,-0.421890259,-0.063735962
,-0.160842896,-0.399169922,0.250961304
,0.400695801,-1.107559204,0.26272583
,0.363052368,-1.278671265,-0.290359497
,0.003692627,-1.025802612,-0.325180054
,,,
,0.111175537,-0.880981445,-0.586990356
,0.196578979,-1.161331177,-0.786254883
,-0.244415283,-0.734725952,-0.216079712
,-0.323623657,-0.445907593,0.125747681
,0.115447998,-0.725479126,0.208740234
,0.526245117,-1.050094604,-0.054885864
,0.032104492,-1.135848999,-0.26864624
,-0.071853638,-0.911697388,-0.316925049
,,,
,0.192230225,-1.441955566,-0.616271973
,0.059387207,-0.933624268,-0.163604736
,-0.511962891,-0.463363647,0.004684448
,-0.196670532,-0.568725586,0.198638916
,0.451416016,-0.896591187,-0.054824829
,0.269744873,-1.238830566,-0.257446289
,-0.104263306,-0.939849854,-0.286941528
,,,
,0.213516235,-1.257949829,-0.825317383
,0.067108154,-0.994277954,-0.633300781
,-0.430114746,-0.499786377,-0.240722656
,-0.271987915,-0.45262146,0.14515686
,0.578155518,-1.152679443,-0.21635437
,0.346374512,-1.178192139,-0.096374512
,-0.193313599,-0.928726196,-0.257919312
,,,
,0.279663086,-1.212905884,-0.725311279
,0.198379517,-0.972473145,-0.709732056
,-0.469146729,-0.481185913,-0.214324951
,-0.14414978,-0.355361938,-0.058792114
,0.610565186,-1.108154297,0.115097046
,0.222976685,-1.213012695,-0.032272339
,-0.029464722,-0.988739014,-0.358856201
,,,
,0.431060791,-1.164276123,-0.766647339
,-0.199874878,-0.722702026,-0.770980835
,-0.376266479,-0.471588135,-0.128982544
,-0.260559082,-0.403091431,0.221054077
,0.508987427,-0.960479736,0.138336182
,0.139450073,-1.408248901,-0.286514282
,0.057113647,-0.806060791,-0.382293701
,,,
,0.292312622,-1.165023804,-0.278366089
,-0.005050659,-1.119369507,-0.248977661
,-0.109222412,-0.753005981,-0.111968994
,-0.57194519,-0.439147949,0.369674683
,0.234024048,-0.507415771,0.245529175
,0.352905273,-1.150543213,0.026901245
,-0.090072632,-1.118713379,-0.695922852
,-0.016433716,-0.965118408,-0.330337524
,,,
,0.058502197,-0.623474121,-0.902191162
,-0.022766113,-0.836761475,-1.089553833
,-0.051361084,-0.717208862,-0.659362793
,-0.448760986,-0.537902832,0.045455933
,-0.126800537,-0.536315918,0.316741943
,0.562744141,-1.092941284,-0.058853149
,0.547515869,-1.190994263,-0.205871582
,0.069030762,-1.065200806,-0.480255127
,,,
,0.216339111,-0.928756714,-0.631347656
,0.131713867,-1.167007446,-0.646972656
,-0.006713867,-0.8775177,-0.271606445
,-0.270187378,-0.632537842,0.045089722
,-0.175582886,-0.701812744,0.131652832
,0.144165039,-0.968551636,0.029815674
,0.54838562,-1.141281128,-0.223983765
,0.184509277,-1.050186157,-0.498077393
,,,
,0.172943115,-0.757019043,-0.933181763
,0.060241699,-0.975540161,-1.042785645
,-0.18208313,-0.652420044,-0.460281372
,-0.484512329,-0.542282104,0.073577881
,0.19102478,-0.61567688,-0.011642456
,0.778137207,-1.336410522,-0.750747681
,-0.339035034,-1.062561035,-0.531295776
,0.141830444,-0.847183228,-0.586074829
,,,
,0.415969849,-1.042739868,-1.112594604
,0.010925293,-0.55039978,-1.181030273
,-0.527206421,-0.369262695,-0.190353394
,-0.139877319,-0.367416382,0.166671753
,0.897949219,-0.663833618,-0.319824219
,0.281478882,-0.938140869,-1.012084961
,-0.000350952,-0.592269897,-0.753616333
,0.239883423,-0.737960815,-0.568954468
,,,
,0.29788208,-0.739135742,-1.132003784
,-0.10899353,-0.706436157,-1.124237061
,-0.398330688,-0.392974854,-0.192855835
,0.189376831,-0.124038696,-0.333358765
,0.93661499,-0.705368042,-1.009460449
,-0.182556152,-0.885238647,-0.777709961
,0.17414856,-0.699508667,-0.54397583
,,,
,0.259521484,-0.975845337,-1.040405273
,-0.160339355,-0.522994995,-0.752349854
,-0.58291626,-0.114120483,-0.099990845
,0.547821045,-0.463653564,0.186813354
,0.75352478,-1.296951294,-1.36239624
,-0.090942383,-0.710632324,-0.755447388
,,,
,0.352783203,-1.012115479,-1.452285767
,-0.242034912,-0.327789307,-0.740234375
,-0.397644043,-0.054748535,0.011032104
,1.202774048,-0.685317993,-0.725372314
,0.160263062,-0.769393921,-1.11819458
,0.033081055,-0.557952881,-0.816757202
,,,
,0.361633301,-1.328308105,-1.73210144
,-0.363998413,-0.31741333,-0.223358154
,-0.028366089,-0.099243164,-0.057769775
,1.168945313,-0.769363403,-0.854766846
,-0.167907715,-0.73789978,-0.948959351
,0.116760254,-0.613601685,-0.711898804
,,,
,0.306915283,-0.847137451,-1.15663147
,-0.045623779,-0.432434082,-1.04057312
,-0.520172119,-0.065643311,0.057678223
,0.901046753,-0.525238037,-0.1381073
,-0.027313232,-0.793533325,-1.275924683
,0.230133057,-0.556442261,-0.704864502
,,,
,0.144485474,-0.93586731,-0.998641968
,-0.163986206,-0.838699341,-0.811706543
,-0.150344849,-0.499252319,-0.018035889
,0.413223267,-0.563644409,0.342224121
,0.624725342,-1.195983887,-0.152038574
,0.026351929,-0.989074707,-0.479980469
