E,X,Y,Z
,0.460205078,-1.172149658,-0.058837891
,0.383651733,-0.634307861,-0.091430664
,-0.695083618,-0.985275269,-0.310699463
,-0.242462158,-1.150527954,-0.25970459
,0.43788147,-0.817504883,-0.138259888
,-0.240982056,-0.811203003,-0.207366943
,-0.233230591,-0.882583618,-0.42666626
,0.251754761,-1.017333984,-0.990631104
,,,
,0.909729004,-1.074890137,-0.114379883
,-0.189651489,-0.427017212,0.140197754
,-0.474685669,-1.576324463,-1.060272217
,1.028594971,-0.8646698,-0.210571289
,-0.435256958,-0.848144531,-0.428604126
,-0.960571289,-1.318603516,-0.552200317
,0.144821167,-0.875106812,-0.307434082
,,,
,0.803619385,-1.231674194,-0.117660522
,-0.066879272,-0.392227173,-0.107910156
,-1.43031311,-1.285491943,-0.26322937
,0.8568573,-0.940551758,-0.268737793
,-0.236953735,-0.589752197,-0.354278564
,-0.41947937,-1.010772705,-0.432098389
,0.194412231,-0.803543091,-0.415145874
,,,
,0.666320801,-1.07232666,-0.367965698
,0.035324097,-0.350540161,-0.006652832
,-0.055099487,-1.264068604,-0.093231201
,1.004241943,-0.731079102,-0.122070313
,-0.8021698,-1.102127075,-0.438430786
,0.379821777,-1.234481812,-0.648620605
,0.382995605,-0.871185303,-0.239471436
,,,
,0.723739624,-0.94291687,-0.178436279
,-0.3462677,-0.408584595,0.229324341
,-0.430206299,-1.249160767,-0.509674072
,0.882736206,-1.007415771,-0.113449097
,-0.749282837,-0.824554443,0.429626465
,-0.37588501,-1.249542236,-0.334899902
,0.450958252,-0.824234009,-0.167419434
,,,
,0.66998291,-0.56060791,0.129516602
,-1.129226685,-1.100631714,-0.467269897
,1.122772217,-0.9793396,0.144729614
,-0.289428711,-0.733169556,-0.120391846
,0.050582886,-1.111602783,-0.390975952
,0.358612061,-0.944869995,-0.410476685
,,,
,0.68132019,-0.285293579,0.268173218
,-0.796600342,-1.135910034,-0.2527771
,0.672973633,-1.018463135,-0.167922974
,-0.060638428,-0.629470825,0.053451538
,0.030715942,-1.300048828,-1.079742432
,0.205184937,-0.988037109,-0.473724365
,,,
,0.892044067,-0.595108032,0.113571167
,-0.673110962,-0.648544312,0.003143311
,0.46635437,-1.33946228,-0.900314331
,0.916717529,-0.579208374,-0.082290649
,-0.584060669,-1.081359863,-0.639312744
,0.387008667,-1.073532104,-0.64956665
,,,
,0.513046265,-1.040420532,-0.150421143
,-0.09979248,-0.459686279,0.239196777
,-0.520324707,-1.151168823,-0.311386108
,0.883392334,-0.847824097,-0.270599365
,-0.670043945,-1.113418579,0.472351074
,0.254806519,-1.075210571,-0.368560791
,0.319519043,-0.911117554,-0.59324646
,,,
,1.254379272,-1.3881073,-0.100204468
,-0.284240723,-0.309127808,0.19682312
,-0.465301514,-1.303283691,-0.342285156
,0.787521362,-0.998626709,0.26940918
,-0.234039307,-0.784927368,0.237991333
,-0.416809082,-0.9375,-0.56338501
,0.271987915,-0.925964355,-0.352813721
,,,
,0.527145386,-0.989334106,-0.058029175
,-0.236297607,-0.430755615,0.260299683
,-0.586196899,-1.464370728,-0.844421387
,0.921325684,-0.710266113,0.206100464
,-0.522720337,-1.0128479,0.082366943
,0.015640259,-1.117370605,-0.915985107
,0.219573975,-0.87449646,-0.319549561
,,,
,0.794494629,-1.205429077,-0.005386353
,0.067779541,-0.383682251,0.275344849
,-0.849472046,-1.36479187,-0.229812622
,0.959197998,-0.792999268,0.166015625
,-0.391586304,-0.876876831,0.280929565
,0.196228027,-1.242095947,-0.388595581
,0.239242554,-0.967193604,-0.439849854
,,,
,1.089553833,-0.922622681,-0.025039673
,0.076385498,-0.23046875,0.110198975
,-0.323730469,-1.405334473,-0.364105225
,0.971496582,-0.776535034,0.06590271
,-0.382446289,-1.112319946,0.059616089
,0.165908813,-1.074783325,-0.870101929
,0.460830688,-0.92237854,-0.481582642
,,,
,0.972747803,-0.804916382,0.181182861
,0.097625732,-0.300460815,0.208953857
,-0.57434082,-1.451965332,0.071807861
,0.864379883,-0.90625,-0.016540527
,-0.2396698,-0.734451294,-0.12689209
,-0.091873169,-1.203704834,-0.764511108
,0.30305481,-0.765258789,-0.453689575
,,,
,1.129745483,-0.780700684,0.060440063
,-0.414932251,-0.262573242,0.112915039
,0.352264404,-1.45463562,-0.925842285
,0.905548096,-0.391723633,0.142745972
,-0.458465576,-1.143875122,-0.210571289
,0.075454712,-0.902053833,-0.729629517
,0.275161743,-0.708694458,-0.837127686
,,,
,0.866012573,-0.870254517,0.270965576
,0.431411743,-0.555923462,0.169586182
,-0.663024902,-0.698181152,-0.150421143
,0.846801758,-1.256332397,-0.500396729
,0.608200073,-0.603027344,0.330978394
,-0.376800537,-0.905853271,-0.286407471
,0.478744507,-0.663345337,-1.21232605
,0.333404541,-0.792190552,-0.270904541
,,,
,1.189239502,-0.928787231,0.008560181
,0.357040405,-0.368408203,0.322036743
,-0.326446533,-1.357406616,-0.605010986
,1.074264526,-0.739501953,0.274047852
,0.56199646,-0.653869629,0.017333984
,-0.278045654,-0.978973389,-0.76574707
,0.589797974,-1.078292847,-0.075958252
,0.262176514,-0.89666748,-0.342559814
,,,
,0.992950439,-1.021881104,-0.181564331
,-0.046951294,-0.398849487,-0.200073242
,-0.345062256,-1.218902588,-0.294494629
,1.162216187,-0.835327148,0.067947388
,0.03678894,-0.717376709,0.318954468
,0.424285889,-1.194625854,-0.651702881
,0.40473938,-0.979003906,-0.40536499
,0.190078735,-0.895080566,-0.355926514
,,,
,-0.492248535,-0.821716309,-0.821166992
,-0.453094482,-0.141677856,0.027786255
,1.160202026,-1.207763672,0.086380005
,-0.700408936,-0.908569336,-1.310592651
,0.208770752,-0.36315918,-0.053283691
,1.019638062,-0.489807129,-0.415939331
,0.473007202,-0.602310181,-1.138656616
,,,
,-0.057815552,-1.273178101,-0.056884766
,0.64944458,-0.560745239,0.159591675
,0.407226563,-0.199279785,0.078918457
,-0.90512085,-1.245330811,-0.704055786
,1.036529541,-0.448654175,0.099609375
,-0.923095703,-0.951843262,-0.540481567
,0.561523438,-0.995117188,-0.720581055
