j,X,Y,Z
,-0.017318726,-0.848480225,-0.281021118
,-0.02746582,-0.752700806,-0.098770142
,0.017486572,-0.221862793,-0.138534546
,0.703582764,0.760009766,-2.106231689
,0.203521729,0.696304321,-1.311706543
,-0.107910156,-0.531021118,-1.447723389
,0.053985596,-0.534454346,0.86088562
,0.325088501,-0.974380493,-1.560333252
,0.065078735,-0.75932312,-0.319137573
,-0.049972534,-0.879577637,-0.052505493
,0.075531006,-0.83215332,-0.192214966
,-0.07699585,-0.231048584,0.073959351
,0.505996704,0.725311279,-1.621490479
,0.059509277,0.852325439,-1.575546265
,-0.257995605,-0.269210815,-0.778503418
,0.119873047,-0.545654297,0.8465271
,-0.094345093,-0.584960938,-1.404037476
,0.041717529,-0.795150757,-0.133712769